Make_Model,Sadan,SUV,Hatchback,Convertible,Wagon,Coupe,Minivan,Drive Wheels (Available),Seating,Engine (liter),HP,Length (in),Width (in),Height (in),Wheelbase (in),Weight (lbs),Cargo Volume (cu ft.),Overall MPG,Lowest MSRP,Parent Company HQ
Cadillac XT6,No,Yes,No,No,No,No,No,"Front, AWD",7,3.6,310,199,77,69,113,4645,12.6,20,52695,USA
Cadillac XTS,Yes,No,No,No,No,No,No,"Front, AWD",5,3.6,304,202,73,59,112,4090,18,22,46795,USA
Chevrolet Blazer,No,Yes,No,No,No,No,No,"Front, AWD",5,2.5,193,191,77,67,113,4235,34.5,19,28800,USA
Chevrolet Bolt,No,No,Yes,No,No,No,No,Front,5,Electric,200,164,70,63,102,3545,17,119,36620,USA
Chevrolet Camaro,No,No,No,Yes,No,Yes,No,Rear,4,2,275,188,75,53,111,3730,11,20,25000,USA
Chevrolet Corvette,No,No,Yes,Yes,No,No,No,Rear,2,6.2,455,177,74,49,107,3470,15,20,55900,USA
Chevrolet Equinox,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,170,183,73,65,107,3540,32,31,23800,USA
Chevrolet Impala,Yes,No,No,No,No,No,No,Front,5,2.5,197,201,73,59,112,3855,19,22,28020,USA
Chevrolet Malibu,Yes,No,No,No,No,No,No,Front,5,1.5,160,194,73,58,112,3125,16,32,22095,USA
Chevrolet Sonic,Yes,No,No,No,No,No,No,Front,5,1.4,138,174,68,60,99,2765,15,28,15420,USA
Chevrolet Spark,No,No,Yes,No,No,No,No,Front,4,1.4,98,143,63,58,94,2280,11,33,13220,USA
Chevrolet Suburban,No,Yes,No,No,No,No,No,"Rear, AWD",9,5,355,224,82,74,130,5945,62.5,16,49700,USA
Chevrolet Tahoe,No,No,No,No,No,No,No,"Rear, AWD",9,5.3,355,204,81,74,116,5635,47.5,16,46800,USA
Chevrolet Traverse,No,Yes,No,No,No,No,No,"Front, AWD",8,3.6,310,204,79,71,121,4695,54.5,20,29800,USA
Chevrolet Trax,No,No,No,No,No,No,No,"Front, AWD",5,1.4,138,167,70,66,101,3255,26,25,21300,USA
Chrysler 300,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.6,292,199,75,58,120,4095,16,21,29220,USA
Chrysler Pacifica,No,No,No,No,No,No,Yes,Front,8,3.6,248,204,80,70,122,4535,66,24,26995,USA
Dodge Challenger,No,No,No,No,No,Yes,No,"Rear, AWD",5,3.6,305,198,76,57,116,4190,16,20,27845,USA
Dodge Charger,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.6,292,198,75,58,120,4335,16,21,29220,USA
Dodge Durango,Yes,No,No,No,No,No,No,"Rear, AWD",8,3.6,293,200,76,71,120,5105,44,18,30195,USA
Fiat 124,No,No,No,Yes,No,No,No,Rear,2,1.4,160,160,69,49,91,2450,5,31,25190,Italy
Fiat 500,No,No,Yes,No,No,No,No,Front,4,Electric,111,144,64,59,91,2565,10,28,33300,Italy
Fiat 500L,No,No,Yes,No,No,No,No,Front,5,1.4,160,167,70,66,103,3330,22.5,27,21910,Italy
Fiat 500x,No,Yes,No,No,No,No,No,AWD,5,1.3,177,167,71,64,101,3280,19.5,23,24490,USA
Ford EcoSport,No,Yes,No,No,No,No,No,"Front, AWD",5,1,123,161,70,65,99,3390,22.5,24,20485,USA
Ford Edge,No,Yes,No,No,No,No,No,"Front, AWD",5,2,250,189,76,68,112,4250,39,22,29995,USA
Ford Escape,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,250,181,74,69,107,3465,34.4,24,24885,USA
Ford Expedition,No,Yes,No,No,No,No,No,"Rear, AWD",9,3.5,375,222,82,76,132,6035,66,16,48530,USA
Ford Explorer,No,Yes,No,No,No,No,No,"Rear, AWD",7,2.3,325,199,79,70,119,4345,87.8,23,28155,USA
Ford Fusion,Yes,No,No,No,No,No,No,"Front, AWD",5,1.5,181,193,73,58,112,3505,16,25,22840,USA
Ford Mustang,No,No,No,Yes,No,Yes,No,Rear,4,2.3,310,188,75,54,107,3845,14,22,26670,USA
Genesis G70,Yes,No,No,No,No,No,No,"Rear, AWD",5,2,252,184,73,55,112,3770,11,23,34900,USA
Genesis G80,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.3,365,197,74,58,119,4530,15,20,42050,USA
Genesis G90,Yes,No,No,No,No,No,No,"Rear, AWD",5,3.3,365,205,75,59,124,4820,16,18,69350,USA
GMC Acadia,No,Yes,No,No,No,No,No,"Front, AWD",6,2.5,193,194,75,66,113,4395,40.5,19,29000,USA
GMC Terrain,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,170,182,72,65,107,3800,33,22,25000,USA
GMC Yukon,No,Yes,No,No,No,No,No,"Rear, AWD, 4WD",8,5.3,355,204,81,74,116,5635,47.5,16,49600,USA
GMC Yuk XL,No,Yes,No,No,No,No,No,"Rear, AWD, 4WD",9,5.3,355,224,81,74,130,5945,62.5,16,52400,USA
Honda Accord,Yes,No,No,No,No,No,No,Front,5,1.5,192,192,73,57,111,3155,17,36,23720,Japan
Honda Civic,Yes,No,Yes,No,No,Yes,No,Front,5,1.5,174,182,71,56,106,2745,13,32.5,19450,Japan
Honda Clarity,Yes,No,No,No,No,No,No,Front,5,Electric,161,193,74,58,108,4045,16,39,33400,Japan
Honda CR-V,No,Yes,No,No,No,No,No,"Front, AWD",5,1.5,190,181,73,67,105,3450,36,27.5,24350,Japan
Honda Fit,No,No,Yes,No,No,No,No,Front,5,1.5,128,161,67,60,99,2625,17,33,16190,Japan
Honda HR-V,No,Yes,No,No,No,No,No,"Front, AWD",5,1.8,141,169,72,56,106,3045,32,29,20520,Japan
Honda Insight,Yes,No,No,No,No,No,No,Front,5,Hybrid,151,194,72,56,106,2975,15,54,22930,Japan
Honda Odyssey,No,No,No,No,No,No,Yes,Front,8,3.3,280,203,79,68,118,4490,71.5,22,30190,Japan
Honda Passport,No,Yes,No,No,No,No,No,"Front, AWD",5,3.5,280,191,79,72,111,4170,39,21,31990,Japan
Honda Pilot,No,Yes,No,No,No,No,No,"Front, AWD",8,3.5,280,197,79,71,110,4280,48,20,31450,Japan
